round_number,duel_id,timestamp,oliver_guess,viggo_guess,us_score,best_opponent_guess,opponent_score,country_code,round_location,state
5,4410e806-5791-4999-9eb6-fadce101559a,2024-10-05 21:26:56,"36.42477332794892, 139.04439372040486","34.90550973979136, 134.2249371966113",4595,"35.1024572984403, 134.93139082611177",4207,jp,"35.100792154954796, 138.45050754127143",NM
6,4410e806-5791-4999-9eb6-fadce101559a,2024-10-05 21:26:56,"41.09037023680423, -97.97371430629624","50.33202173223514, -104.0437164565687",4421,"45.78178570505655, -100.89986334669447",3308,ca,"51.50377286176086, -106.7188232116613",NM
7,4410e806-5791-4999-9eb6-fadce101559a,2024-10-05 21:26:56,"40.459798354113715, 32.35140152643237","40.04295630844308, 38.29471640591078",4685,"40.068074641654384, 37.68911483152931",4583,tr,"39.22391489627022, 39.22086469894352",NM
8,4410e806-5791-4999-9eb6-fadce101559a,2024-10-05 21:26:56,"51.72350167454117, -1.277467067692295","53.36466797188328, -1.8680389973840694",4773,"53.292701600443564, -6.674691723210788",4084,gb,"52.49609133844425, -1.235129987357846",NM
1,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"-36.88940962278458, 144.49864955350466","-24.117166283125528, 148.97331283232478",4139,"-37.00273221745434, 142.0357183753295",4655,au,"-36.8441192529375, 140.5589522746016",NM
2,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"61.27414101259359, 16.005807370004188","61.46002158043905, 10.679122984254157",4244,"46.35003560596338, 14.159608868016077",2308,no,"58.85916134522433, 8.98869716821906",NM
3,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"35.2837314753893, 126.92761207704432","35.82448708461926, 128.56280403528913",4871,"35.727213229295586, 128.47018122021467",4853,kr,"36.20625420461326, 128.30559903265444",NM
4,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"-25.89674889320494, 28.835804349216964","-30.13846528429306, 25.431654419649767",4355,"-28.10033845383516, 28.673462781199994",4967,za,"-28.191324735895883, 28.602052250002803",NM
5,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"8.70393861394638, 124.9790189728332","11.219390918156146, 122.62271615382564",3774,"15.05503016958918, 121.0020450907384",4733,ph,"15.193586721147264, 120.06588304383048",NM
6,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"61.56130693848183, 10.389867273382585","59.117802499918255, 8.678027782651956",4964,"52.07610787705787, 14.66304729241604",3115,no,"59.15129638105079, 8.449983601448563",NM
7,c9347ff1-bff4-46cb-bb5d-3aa04c758834,2024-10-05 19:16:48,"1.610286211414078, 39.90219723902784","46.3473666260119, 106.32397895710209",3849,"1.1993638026051263, 37.50368585414257",4295,ke,"3.0662243208480935, 35.787584128292906",NM
